gene_name	significant	difference	logpval
RNF44	NA	0.0833148956298828	0.135659135057083
ARL8B	NA	-1.22991061210632	0.747784054377703
DACH1	NA	0.14225172996521	0.221210117856479
RAB4B	+	0.63318133354187	1.61657467707973
TIGAR	NA	0.524154663085938	0.417516399433489
PFN2	NA	-0.320646792650223	0.173923032130964
RMND5A	NA	0.0205223560333252	0.0477942858965251
TUBB4A	NA	-0.0948073863983154	0.0418801196201358
COX10	NA	-0.0802760124206543	0.195205011712818
SIN3B	NA	0.171014070510864	0.307113486401934
TNFAIP2	NA	0.375303745269775	0.69758995213676
MFSD3	NA	-0.206135272979736	0.531906271741086
RPL23A	NA	0.16338586807251	1.0516357490447
IL32	+	1.19440186023712	1.51609580809842
CTSA	NA	0.367326259613037	0.436558233099769
HEL-S-109	NA	-0.0514414310455322	0.0640524499813216
Nucb2	NA	-0.0514414310455322	0.0640524499813216
NUCB2	NA	-0.0514414310455322	0.0640524499813216
PTPN4	NA	0.0487864017486572	0.0866260113296966
B3GAT2	NA	-0.500000059604645	1.15922689002767
SPATA2	NA	0.219413280487061	0.793409607626228
SERTAD2	NA	0.162351369857788	0.234960071233515
BST1	NA	-0.0489909648895264	0.0542519949131521
OTUD1	+	0.441287875175476	1.34313940721334
ADGRG5	+	-0.62870979309082	1.40156600666605
GPR114	+	-0.62870979309082	1.40156600666605
ST3GAL6	NA	0.346840381622314	0.551907293735743
HOOK1	NA	-0.0880718231201172	0.0183593050557054
PKP2	NA	0.306162595748901	0.315409545493182
ZNF90	NA	-0.0887689590454102	0.235865207329488
RNMTL1	NA	-0.072589635848999	0.161970871358499
KRT1	NA	-0.0825265645980835	0.0193083248532778
ASB8	NA	0.0362794399261475	0.13365518339681
SLC45A4	NA	0.482917785644531	1.19529801316276
MTRF1	NA	0.1295166015625	0.590972781574738
C15orf62	NA	0.263812303543091	0.657424796146117
RWDD2A	NA	0.214195132255554	0.332677408234834
YWHAB	NA	-0.491545915603638	0.602588139845531
SCFD2	NA	-0.0902388095855713	0.213551060481108
TOMM40	NA	-0.251467227935791	0.542587592162697
SEPSECS	NA	0.0248911380767822	0.0509461264267005
CWC27	NA	-0.122990608215332	0.435849806191449
MAP9	NA	-0.18098247051239	0.232472516631367
APIP	NA	-0.235048294067383	0.722992430954693
KIAA2013	NA	0.10092830657959	0.255671176168474
PLCE1	NA	-0.0682704448699951	0.116592576940636
RAD17	NA	0.0419204235076904	0.116815374733819
CCDC30	NA	0.675865769386292	1.20740392158196
MITD1	NA	0.0906929969787598	0.515760305945509
ZMAT3	NA	1.20756447315216	0.74911381333776506
SPCS2	NA	-0.127928018569946	0.337481081455249
PRRT1	NA	0.577626585960388	0.451605569317656
SETDB2	NA	0.0292456150054932	0.0630678026380774
THOC2	NA	-0.0410764217376709	0.0931247195784191
DESI2	NA	-0.19196891784668	0.631500472575719
COX17	NA	-0.204352617263794	0.650820855171278
UQCRB	NA	0.22776985168457	0.729298001534337
SERPINE3	NA	0.013116717338562	0.0336369698166505
PKMYT1	NA	-0.169719457626343	0.497079714512827
FAM89B	NA	0.309851408004761	0.639454735488828
MED8	NA	0.12459659576416	0.428044290117582
PHF1	NA	0.349338531494141	1.16918230786624
FAM69A	NA	-0.290651917457581	0.392986007691467
ANKMY1	NA	0.209510803222656	0.456364139134121
DKFZp686L21237	NA	0.209510803222656	0.456364139134121
AIMP2	NA	-0.0695986747741699	0.147500494979493
FBXO45	NA	-0.131221771240234	0.40116240528199
GUCY1A3	NA	0.364047288894653	0.9187668848627
PRKG2	NA	0.305323243141174	0.355568325650457
AMZ2	NA	-0.0214841365814209	0.0626463356888567
TMEM52	NA	-0.415140171845754	0.279318170097674
SPTY2D1	NA	0.0627329349517822	0.188919297127775
GCNT4	NA	0.165714263916016	0.153915581857535
RUNX2	NA	0.857481837272644	0.578360821684516
TTLL13P	NA	0.461999237537384	0.403292058221986
RBM15B	NA	0.0252804756164551	0.0790177711677504
MTF2	NA	0.106900691986084	0.179357758041569
ATP2A1	NA	-0.0510350465774536	0.0848166354546375
FAM174A	NA	0.285455465316772	1.29275929913867
ZNF880	NA	0.156683444976807	0.48382222371054
